Local time,Open,High,Low,Close,Volume
30.10.2018 00:00:00.000 GMT+0530,77.215,77.245,77.105,77.141,0.0294
30.10.2018 00:05:00.000 GMT+0530,77.135,77.196,77.130,77.156,0.0083
30.10.2018 00:10:00.000 GMT+0530,77.155,77.236,77.155,77.226,0.0074
30.10.2018 00:15:00.000 GMT+0530,77.220,77.226,77.150,77.216,0.014199999999999999
30.10.2018 00:20:00.000 GMT+0530,77.220,77.221,77.140,77.140,0.0091
30.10.2018 00:25:00.000 GMT+0530,77.145,77.166,77.105,77.110,0.0081
30.10.2018 00:30:00.000 GMT+0530,77.114,77.125,77.005,77.016,0.015499999999999998
30.10.2018 00:35:00.000 GMT+0530,77.021,77.021,76.970,76.975,0.0085
30.10.2018 00:40:00.000 GMT+0530,76.970,76.981,76.866,76.870,0.0096
30.10.2018 00:45:00.000 GMT+0530,76.865,76.865,76.735,76.820,0.0174
30.10.2018 00:50:00.000 GMT+0530,76.815,76.880,76.775,76.850,0.0084
30.10.2018 00:55:00.000 GMT+0530,76.845,76.876,76.800,76.841,0.0095
30.10.2018 01:00:00.000 GMT+0530,76.836,76.876,76.765,76.875,0.011000000000000001
30.10.2018 01:05:00.000 GMT+0530,76.860,76.870,76.780,76.790,0.0084
30.10.2018 01:10:00.000 GMT+0530,76.786,76.786,76.535,76.551,0.021
30.10.2018 01:15:00.000 GMT+0530,76.540,76.614,76.535,76.581,0.0148
30.10.2018 01:20:00.000 GMT+0530,76.575,76.596,76.566,76.595,0.0104
30.10.2018 01:25:00.000 GMT+0530,76.584,76.730,76.550,76.730,0.009600000000000001
30.10.2018 01:30:00.000 GMT+0530,76.735,76.776,76.690,76.760,0.0068
30.10.2018 01:35:00.000 GMT+0530,76.756,76.796,76.756,76.780,0.005
30.10.2018 01:40:00.000 GMT+0530,76.786,76.836,76.754,76.831,0.0038000000000000004
30.10.2018 01:45:00.000 GMT+0530,76.824,76.824,76.769,76.804,0.0042
30.10.2018 01:50:00.000 GMT+0530,76.794,76.926,76.794,76.901,0.0027999999999999995
30.10.2018 01:55:00.000 GMT+0530,76.915,76.929,76.844,76.880,0.0031
30.10.2018 02:00:00.000 GMT+0530,76.890,76.906,76.875,76.875,0.0015
30.10.2018 02:05:00.000 GMT+0530,76.871,76.896,76.870,76.895,0.0017000000000000001
30.10.2018 02:10:00.000 GMT+0530,76.880,76.901,76.864,76.865,0.0024000000000000002
30.10.2018 02:15:00.000 GMT+0530,76.880,76.891,76.860,76.864,0.0024
30.10.2018 02:20:00.000 GMT+0530,76.875,76.885,76.814,76.819,0.0022
30.10.2018 02:25:00.000 GMT+0530,76.820,76.845,76.804,76.810,0.0037999999999999996
30.10.2018 02:30:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 02:35:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 02:40:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 02:45:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 02:50:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 02:55:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:00:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:05:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:10:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:15:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:20:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:25:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:30:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:35:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:40:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:45:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:50:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 03:55:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:00:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:05:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:10:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:15:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:20:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:25:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:30:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:35:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:40:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:45:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:50:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 04:55:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 05:00:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 05:05:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 05:10:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 05:15:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
30.10.2018 05:20:00.000 GMT+0530,76.810,76.810,76.810,76.810,0
